episodeId,seed,scenarioId,mode,startTime,endTime,duration,terminationReason,success,timeToCapture,totalReward,epsilonUsed,action0_count,action1_count,action2_count,action3_count,action4_count,action5_count,action6_count,action7_count,action0_time,action1_time,action2_time,action3_time,action4_time,action5_time,action6_time,action7_time,uniqueStatesVisited,firstContactTime,tdErrorMean,useLearning,useHeat
208,-529993827,default,TRAIN,65971.92,66381.61,409.6875,QUEST_COMPLETE,0,-1,0,0.1062916,3,0,0,7,13,5,5,0,110.7344,0,0,62.51563,117.5469,18.64063,61.54688,0,0,-1,0.4169256,1,1
209,-529993827,default,TRAIN,66382.63,66849.69,467.0547,QUEST_COMPLETE,0,-1,0,0.1057602,10,0,0,5,2,0,0,0,354.5391,0,0,60.40625,6.984375,0,0,0,0,-1,0.3760709,1,1
210,-529993827,default,TRAIN,66850.84,67021.88,171.0469,CAPTURE,0,-1,0,0.1052314,3,1,0,12,0,0,3,0,90.16406,2.664063,0,38.54688,0,0,11.61719,0,0,-1,0.2844441,1,1
211,-529993827,default,TRAIN,67023.06,67502.06,479,QUEST_COMPLETE,0,-1,0,0.1047052,10,1,0,3,1,3,3,0,320.0313,5.179688,0,35.08594,13.40625,41.38281,27.5625,0,0,-1,0.6778681,1,1
212,-529993827,default,TRAIN,67503.19,67574.34,71.15625,CAPTURE,0,-1,0,0.1041817,2,0,0,0,0,0,0,0,31.00781,0,0,0,0,0,0,0,0,-1,0.3654753,1,1
213,-529993827,default,TRAIN,67575.36,68233.13,657.7734,CAPTURE,0,-1,0,0.1036608,7,0,0,11,0,17,3,0,257.5,0,0,170.6484,0,156.9297,45.32813,0,0,-1,0.2663936,1,1
214,-529993827,default,TRAIN,68234.2,68354.5,120.3047,CAPTURE,0,-1,0,0.1031425,2,1,0,0,0,0,3,0,78.59375,5.195313,0,0,0,0,8.640625,0,0,-1,1.615433,1,1
215,-529993827,default,TRAIN,68355.81,68703.66,347.8438,QUEST_COMPLETE,0,-1,0,0.1026268,7,1,0,4,0,2,1,0,229.9844,4.96875,0,40.65625,0,27.71094,12.78125,0,0,-1,0.5760549,1,1
216,-529993827,default,TRAIN,68704.66,69287.88,583.2109,CAPTURE,0,-1,0,0.1021136,9,0,0,16,2,0,1,0,370,0,0,161.1719,19.75,0,15.16406,0,0,-1,0.6999381,1,1
217,-529993827,default,TRAIN,69288.93,69322.2,33.27344,CAPTURE,0,-1,0,0.1016031,0,0,0,1,1,0,0,0,0,0,0,0,11.00781,0,0,0,0,-1,1.251534,1,1
218,-529993827,default,TRAIN,69323.47,69537.39,213.9219,CAPTURE,0,-1,0,0.1010951,4,0,0,3,11,0,0,0,113.5391,0,0,54.00781,33.0625,0,0,0,0,-1,0.4638441,1,1
219,-529993827,default,TRAIN,69538.58,69837.87,299.2891,QUEST_COMPLETE,0,-1,0,0.1005896,1,0,0,12,12,0,1,0,45.25,0,0,103.9063,91.61719,0,13.46875,0,0,-1,0.7013869,1,1
220,-529993827,default,TRAIN,69838.94,69979.06,140.125,CAPTURE,0,-1,0,0.1000866,3,0,0,1,0,0,0,0,114.8438,0,0,0,0,0,0,0,0,-1,2.308949,1,1
221,-529993827,default,TRAIN,69980.28,70208.34,228.0625,CAPTURE,0,-1,0,0.0995862,4,0,0,0,8,0,6,0,125.1875,0,0,0,17.48438,0,36.69531,0,0,-1,0.8349764,1,1
222,-529993827,default,TRAIN,70209.55,70247.38,37.82031,CAPTURE,0,-1,0,0.09908827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.3257902,1,1
