Time,DecisionType,Winner,WinnerScore,CandidateCount,Top5Candidates
6415,1,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6440,4,Patrol,R5,0,594,10,R5(0,59)|HUB(0,58)|R6(0,58)|R4(0,57)|R7(0,57)|
6535,2,Patrol,R2,0,588,10,R2(0,59)|R7(0,59)|HUB(0,58)|C1(0,58)|R4(0,58)|
6543,6,Patrol,R7,0,592,10,R7(0,59)|R2(0,59)|R4(0,58)|HUB(0,58)|C1(0,58)|
6560,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6569,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6578,0,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6615,8,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
6720,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6740,9,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6749,4,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6774,8,Patrol,HUB,0,590,10,HUB(0,59)|R5(0,58)|R7(0,58)|R4(0,58)|R2(0,58)|
6835,6,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
6837,3,Patrol,R3,0,588,10,R3(0,59)|R1(0,59)|HUB(0,58)|R5(0,58)|R7(0,57)|
6862,4,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6863,9,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6865,3,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6866,7,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6868,1,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6870,0,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6871,4,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6872,9,Patrol,R6,0,588,10,R6(0,59)|R5(0,58)|R4(0,58)|R7(0,58)|HUB(0,58)|
6900,0,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
6962,2,Patrol,R7,0,596,10,R7(0,60)|EXIT(0,59)|R4(0,58)|R2(0,58)|R6(0,57)|
6985,2,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
6993,8,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7002,4,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7011,6,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7020,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7029,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7058,1,Patrol,R7,0,590,10,R7(0,59)|R4(0,59)|R2(0,58)|HUB(0,58)|R5(0,58)|
7094,1,Patrol,R7,0,603,10,R7(0,60)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7101,3,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7133,7,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7532,5,Patrol,R7,0,606,10,R7(0,61)|R2(0,58)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7540,5,Patrol,R7,0,602,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
7549,4,Patrol,R7,0,603,10,R7(0,60)|R2(0,59)|R4(0,58)|EXIT(0,58)|HUB(0,57)|
